,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
43,Stéphane Lasme,2008,2008,F,6-8,215.0,"December 17, 1982",UMass
44,Dave Lattin,1968,1973,F-C,6-6,225.0,"December 23, 1943",Texas-El Paso
45,Priest Lauderdale,1997,1998,C,7-4,325.0,"August 31, 1973",Central State University
46,Rich Laurel,1978,1978,G,6-6,190.0,"July 11, 1954",Hofstra
47,Harry Laurie,1971,1971,G,6-1,178.0,"November 2, 1944",Saint Peter's College
48,Walt Lautenbach,1950,1950,G-F,6-2,185.0,"November 17, 1922",Wisconsin
49,Joffrey Lauvergne,2015,2018,C-F,6-11,220.0,"September 30, 1991",
50,Tony Lavelli,1950,1951,F,6-3,185.0,"July 11, 1926",Yale
51,Bob Lavoy,1951,1954,F-C,6-7,185.0,"June 29, 1926",Western Kentucky
52,Acie Law,2008,2011,G,6-3,195.0,"January 25, 1985",Texas A&M
53,Vic Law,2020,2020,F,6-7,200.0,"December 19, 1995",Northwestern
54,Gani Lawal,2011,2011,F,6-9,234.0,"November 7, 1988",Georgia Tech
55,Edmund Lawrence,1981,1981,C,7-0,228.0,"December 8, 1952",McNeese State University
56,Jason Lawson,1998,1998,C,6-11,240.0,"September 2, 1974",Villanova
57,Ty Lawson,2010,2017,G,5-11,195.0,"November 3, 1987",UNC
58,Jake Layman,2017,2022,F,6-8,209.0,"March 7, 1994",Maryland
59,Mo Layton,1972,1978,G,6-1,180.0,"December 24, 1948",USC
60,Caris LeVert,2017,2022,G-F,6-6,205.0,"August 25, 1994",Michigan
61,T.J. Leaf,2018,2021,F,6-10,222.0,"April 30, 1997",UCLA
62,Manny Leaks,1969,1974,C-F,6-8,225.0,"November 27, 1945",Niagara University
63,Hal Lear,1957,1957,G,6-0,163.0,"January 31, 1935",Temple
64,Allen Leavell,1980,1989,G,6-1,170.0,"May 27, 1957",Oklahoma City University
65,Jeff Lebo,1990,1990,G,6-2,180.0,"October 5, 1966",UNC
66,Eric Leckner,1989,1997,C-F,6-11,265.0,"May 27, 1966",Wyoming
67,Jalen Lecque,2020,2021,G,6-4,185.0,"June 13, 2000",
68,Ricky Ledo,2014,2015,G,6-7,195.0,"September 10, 1992",
69,Butch Lee,1979,1980,G,6-0,185.0,"December 5, 1956",Marquette
70,Clyde Lee,1967,1976,F-C,6-10,205.0,"March 14, 1944",Vanderbilt
71,Courtney Lee,2009,2020,G,6-5,215.0,"October 3, 1985",Western Kentucky
72,Damion Lee,2018,2022,G,6-5,210.0,"October 21, 1992","Drexel, Louisville"
73,David Lee,1968,1969,F,6-7,225.0,"March 31, 1942",San Francisco
74,David Lee,2006,2017,F,6-9,245.0,"April 29, 1983",Florida
75,Dick Lee,1968,1968,F,6-6,,,Washington
76,Doug Lee,1992,1995,G-F,6-5,200.0,"October 24, 1964","Texas A&M, Purdue"
77,George Lee,1961,1968,F-G,6-4,200.0,"November 23, 1936",Michigan
78,Greg Lee,1975,1976,G,6-3,190.0,"December 12, 1951",UCLA
79,Keith Lee,1986,1989,F-C,6-10,215.0,"December 28, 1962",Memphis
80,Kurk Lee,1991,1991,G,6-3,190.0,"June 3, 1967","Western Kentucky, Towson University"
81,Malcolm Lee,2012,2015,G,6-5,200.0,"May 22, 1990",UCLA
82,Rock Lee,1982,1982,C,6-10,220.0,"May 1, 1955","California, San Diego State"
83,Ron Lee,1977,1982,G,6-4,193.0,"November 2, 1952",Oregon
84,Russ Lee,1973,1975,G-F,6-5,185.0,"January 27, 1950",Marshall
85,Saben Lee,2021,2022,G,6-2,183.0,"June 23, 1999",Vanderbilt
86,Ed Leede,1950,1951,F-G,6-3,185.0,"July 17, 1927",Dartmouth College
87,Hank Lefkowitz,1947,1947,F,6-2,190.0,"August 31, 1923",Case Western Reserve University
88,Tim Legler,1990,2000,G,6-4,200.0,"December 26, 1966",La Salle
89,George Lehmann,1968,1974,G,6-0,180.0,"May 1, 1942",Campbell
90,Barry Leibowitz,1968,1968,G,6-2,180.0,"September 10, 1945",Long Island University
91,Walt Lemon Jr.,2018,2019,G,6-3,180.0,"July 26, 1992",Bradley
92,Alex Len,2014,2022,C,7-0,250.0,"June 16, 1993",Maryland
93,Voshon Lenard,1996,2006,G,6-4,205.0,"May 14, 1973",Minnesota
94,Leary Lentz,1968,1969,F,6-6,200.0,"February 23, 1945",Houston
95,Gary Leonard,1990,1992,C,7-1,250.0,"February 16, 1967",Missouri
96,Kawhi Leonard,2012,2021,F,6-7,225.0,"June 29, 1991",San Diego State
97,Meyers Leonard,2013,2021,C-F,7-0,260.0,"February 27, 1992",Illinois
98,Slick Leonard*,1957,1963,G,6-3,185.0,"July 17, 1932",Indiana
99,Jim Les,1989,1995,G,5-11,165.0,"August 18, 1963","Cleveland State University, Bradley"
100,Travis Leslie,2012,2012,G,6-4,205.0,"March 29, 1990",Georgia
101,Ronnie Lester,1981,1986,G,6-2,175.0,"January 1, 1959",Iowa
102,Clifford Lett,1990,1991,G,6-3,170.0,"December 23, 1965",Florida
103,Jon Leuer,2012,2019,F,6-10,228.0,"May 14, 1989",Wisconsin
104,Andrew Levane,1949,1953,F-G,6-2,190.0,"April 11, 1920",St. John's
105,Fat Lever,1983,1994,G,6-3,170.0,"August 18, 1960",Arizona State
106,Cliff Levingston,1983,1995,F,6-8,210.0,"January 4, 1961",Wichita State
107,Bobby Lewis,1968,1971,G,6-3,175.0,"March 20, 1945",UNC
108,Cedric Lewis,1996,1996,F-C,6-10,235.0,"September 24, 1969",Maryland
109,Freddie Lewis,1949,1950,F-G,6-2,195.0,"January 6, 1921",Eastern Kentucky University
110,Freddie Lewis,1967,1977,G,6-0,175.0,"July 1, 1943",Arizona State
111,Grady Lewis,1947,1949,F-C,6-7,215.0,"March 25, 1917",Oklahoma
112,Kira Lewis Jr.,2021,2022,G,6-1,170.0,"April 6, 2001",Alabama
113,Martin Lewis,1996,1997,F,6-5,210.0,"April 28, 1975","Butler County Community College, Seward County Community College"
114,Mike Lewis,1969,1974,C-F,6-8,225.0,"March 18, 1946",Duke
115,Quincy Lewis,2000,2004,F,6-7,215.0,"June 26, 1977",Minnesota
116,Ralph Lewis,1988,1990,F-G,6-6,200.0,"March 28, 1963",La Salle
117,Rashard Lewis,1999,2014,F,6-10,215.0,"August 8, 1979",
118,Reggie Lewis,1988,1993,G-F,6-7,195.0,"November 21, 1965",Northeastern University
119,Scottie Lewis,2022,2022,G,6-5,189.0,"March 12, 2000",Florida
120,Marcus Liberty,1991,1994,F,6-8,205.0,"October 27, 1968",Illinois
121,Todd Lichti,1990,1994,G-F,6-4,205.0,"January 8, 1967",Stanford
122,DeAndre Liggins,2012,2018,G,6-6,209.0,"March 31, 1988",Kentucky
123,Bill Ligon,1975,1975,G,6-4,180.0,"May 29, 1952",Vanderbilt
124,Goose Ligon,1968,1974,F-C,6-7,210.0,"February 22, 1944",
125,Damian Lillard,2013,2022,G,6-2,195.0,"July 15, 1990",Weber State
126,Jeremy Lin,2011,2019,G,6-3,200.0,"August 23, 1988",Harvard University
127,Steve Lingenfelter,1983,1984,F,6-9,225.0,"June 10, 1958","Minnesota, South Dakota State"
128,Alton Lister,1982,1998,C-F,7-0,240.0,"October 1, 1958",Arizona State
129,Nassir Little,2020,2022,F,6-5,220.0,"February 11, 2000",UNC
130,Samuel Little,1970,1970,G,6-0,180.0,"March 29, 1946",Delta State University
131,Gene Littles,1970,1975,G,6-0,160.0,"June 29, 1943",High Point University
132,Isaiah Livers,2022,2022,F,6-7,230.0,"July 28, 1998",Michigan
133,Randy Livingston,1997,2007,G,6-4,209.0,"April 2, 1975",LSU
134,Shaun Livingston,2005,2019,G,6-7,192.0,"September 11, 1985",
135,Ron Livingstone,1950,1951,C,6-10,220.0,"October 9, 1925","Saint Mary's, Wyoming"
136,Horacio Llamas,1997,1998,C,6-11,285.0,"July 17, 1973",Grand Canyon University
137,Bobby Lloyd,1968,1969,G,6-2,184.0,"January 3, 1946",Rutgers University
138,Chuck Lloyd,1971,1971,C-F,6-8,220.0,"May 22, 1947",Yankton College
139,Earl Lloyd*,1951,1960,F-C,6-5,200.0,"April 3, 1928",West Virginia State University
140,Lewis Lloyd,1982,1990,G-F,6-6,205.0,"February 22, 1959",Drake University
141,Scott Lloyd,1977,1983,C-F,6-10,230.0,"December 19, 1952",Arizona State
142,Riney Lochmann,1968,1970,F,6-6,215.0,"May 26, 1944",Kansas
143,Bob Lochmueller,1953,1953,F,6-5,185.0,"June 5, 1927",Louisville
144,Rob Lock,1989,1989,F,6-9,225.0,"May 22, 1966",Kentucky
145,Darrell Lockhart,1984,1984,C,6-9,245.0,"September 14, 1960",Auburn
146,Ian Lockhart,1991,1991,F,6-8,240.0,"June 25, 1967",Tennessee
147,Kevin Loder,1982,1984,F-G,6-6,205.0,"March 15, 1959","Kentucky State University, Alabama State University"
148,Don Lofgran,1951,1954,F-C,6-5,200.0,"November 8, 1929",San Francisco
149,Zach Lofton,2019,2019,G,6-4,180.0,"November 18, 1992","Illinois State, Texas Southern, New Mexico State"
150,Henry Logan,1969,1970,G,6-0,180.0,"March 14, 1946",Western Carolina University
151,John Logan,1947,1951,G,6-2,175.0,"January 1, 1921",Indiana
152,Brad Lohaus,1988,1998,F-C,6-11,230.0,"September 29, 1964",Iowa
153,Art Long,2001,2003,F-C,6-9,250.0,"October 1, 1972",Cincinnati
154,Grant Long,1989,2003,F,6-8,225.0,"March 12, 1966",Eastern Michigan
155,John Long,1979,1997,G-F,6-5,195.0,"August 28, 1956",Detroit Mercy
156,Paul Long,1968,1971,G,6-2,180.0,"February 8, 1944",Wake Forest
157,Shawn Long,2017,2017,C-F,6-9,255.0,"January 29, 1993",Louisiana
158,Willie Long,1972,1974,F-C,6-8,225.0,"March 1, 1950",New Mexico
159,Luc Longley,1992,2001,C,7-2,265.0,"January 19, 1969",New Mexico
160,Kevon Looney,2016,2022,F-C,6-9,222.0,"February 6, 1996",UCLA
161,Brook Lopez,2009,2022,C,7-0,282.0,"April 1, 1988",Stanford
162,Felipe López,1999,2002,G,6-5,199.0,"December 19, 1974",St. John's
163,Raül López,2004,2005,G,6-1,170.0,"April 15, 1980",
164,Robin Lopez,2009,2022,C,7-0,281.0,"April 1, 1988",Stanford
165,Ryan Lorthridge,1995,1995,G,6-4,190.0,"July 27, 1972",Jackson State University
166,Jim Loscutoff,1956,1964,F,6-5,220.0,"February 4, 1930",Oregon
167,Plummer Lott,1968,1969,F-G,6-5,210.0,"December 11, 1945",Seattle University
168,Kevin Loughery,1963,1973,G,6-3,190.0,"March 28, 1940","Boston College, St. John's"
169,Didi Louzada,2021,2022,G,6-5,188.0,"February 7, 1999",
170,Bob Love,1967,1977,F,6-8,215.0,"December 8, 1942",Southern University and A&M College
171,Kevin Love,2009,2022,F,6-8,251.0,"September 7, 1988",UCLA
172,Stan Love,1972,1975,F,6-9,215.0,"April 9, 1949",Oregon
173,Clyde Lovellette*,1954,1964,C-F,6-9,234.0,"September 7, 1929",Kansas
174,Sidney Lowe,1984,1990,G,6-0,195.0,"January 21, 1960",NC State
175,Charlie Lowery,1972,1972,G,6-3,185.0,"November 12, 1949",University of Puget Sound
176,Kyle Lowry,2007,2022,G,6-0,196.0,"March 25, 1986",Villanova
177,Jordan Loyd,2019,2019,G,6-4,210.0,"July 27, 1993","Furman University, University of Indianapolis"
178,Al Lucas,1949,1949,F-G,6-3,195.0,"July 4, 1922",Fordham
179,Jerry Lucas*,1964,1974,F-C,6-8,230.0,"March 30, 1940",Ohio State
180,John Lucas,1977,1990,G,6-3,175.0,"October 31, 1953",Maryland
181,Kalin Lucas,2015,2019,G,6-1,195.0,"May 24, 1989",Michigan State
182,Maurice Lucas,1975,1988,F-C,6-9,215.0,"February 18, 1952",Marquette
183,John Lucas III,2006,2017,G,5-11,166.0,"November 21, 1982","Baylor, Oklahoma State"
184,Ted Luckenbill,1962,1963,F,6-6,205.0,"July 27, 1939",Houston
185,Tyronn Lue,1999,2009,G,6-0,175.0,"May 3, 1977",Nebraska
186,Jim Luisi,1954,1954,G,6-2,180.0,"November 2, 1928",St. Francis College
187,Al Lujack,1947,1947,F,6-3,220.0,"October 5, 1920",Georgetown
188,Phil Lumpkin,1975,1976,G,6-0,165.0,"December 20, 1951",Miami University
189,Ray Lumpp,1949,1953,G,6-1,178.0,"July 11, 1923",NYU
190,Gabriel Lundberg,2022,2022,G,6-4,203.0,"December 4, 1994",
191,Timothé Luwawu-Cabarrot,2017,2022,F,6-7,220.0,"May 9, 1995",
192,Tyler Lydon,2018,2019,F,6-10,225.0,"April 9, 1996",Syracuse
193,Trey Lyles,2016,2022,F,6-9,234.0,"November 5, 1995",Kentucky
194,R.B. Lynam,1968,1968,G,6-1,190.0,,Oklahoma Baptist University
195,George Lynch,1994,2005,F,6-8,218.0,"September 3, 1970",UNC
196,Kevin Lynch,1992,1993,G-F,6-5,195.0,"December 24, 1968",Minnesota
197,Lonnie Lynn,1970,1970,F,6-7,215.0,"May 24, 1943",Wilberforce University
198,Mike Lynn,1970,1971,F,6-7,215.0,"November 25, 1945",UCLA
0,Sheldon Mac,2017,2017,G,6-5,200.0,"December 21, 1992",Miami (FL)
1,Todd MacCulloch,2000,2003,C,7-0,280.0,"January 27, 1976",Washington
2,Ronnie MacGilvray,1955,1955,G,6-2,185.0,"July 20, 1930",St. John's
3,Don MacLean,1993,2001,F,6-10,235.0,"January 16, 1970",UCLA
4,Mike Macaluso,1974,1974,F,6-5,210.0,"July 20, 1951",Canisius
5,Ed Macauley*,1950,1959,C-F,6-8,185.0,"March 22, 1928",Saint Louis
6,Scott Machado,2013,2019,G,6-1,205.0,"June 8, 1990",Iona College
7,Arvydas Macijauskas,2006,2006,G,6-4,214.0,"January 19, 1980",
8,Ollie Mack,1980,1982,G,6-3,185.0,"June 6, 1957",East Carolina University
9,Sam Mack,1993,2002,F-G,6-7,220.0,"May 26, 1970","Iowa State, Tyler Junior College, Houston"
10,Shelvin Mack,2012,2019,G,6-3,203.0,"April 22, 1990",Butler
11,Malcolm Mackey,1994,1994,F-C,6-9,248.0,"July 11, 1970",Georgia Tech
12,Rudy Macklin,1982,1984,F-G,6-7,205.0,"February 19, 1958",LSU
13,Vernon Macklin,2012,2012,F,6-10,227.0,"September 20, 1986","Georgetown, Florida"
14,Johnny Macknowski,1950,1951,G-F,6-0,180.0,"January 7, 1923",Seton Hall
15,Daryl Macon,2019,2020,G,6-2,185.0,"November 29, 1995",Arkansas
16,Mark Macon,1992,1999,G,6-5,185.0,"April 14, 1969",Temple
17,J.P. Macura,2019,2020,G,6-5,203.0,"June 5, 1995",Xavier
18,Kyle Macy,1981,1987,G,6-3,175.0,"April 9, 1957","Purdue, Kentucky"
19,Jack Maddox,1949,1949,F-G,6-3,185.0,"December 10, 1919",West Texas A&M University
20,Tito Maddox,2003,2003,G,6-4,190.0,"June 7, 1981",Fresno State
21,Gerald Madkins,1994,1998,G,6-4,200.0,"April 18, 1969",UCLA
22,Mark Madsen,2001,2009,F,6-9,240.0,"January 28, 1976",Stanford
23,Norm Mager,1951,1951,F,6-5,185.0,"March 23, 1926",City College of New York
24,Josh Magette,2018,2020,G,6-1,160.0,"November 28, 1989",Alabama-Huntsville
25,Corey Maggette,2000,2013,F,6-6,218.0,"November 12, 1979",Duke
26,Dave Magley,1983,1983,F,6-8,202.0,"November 24, 1959",Kansas
27,Jamaal Magloire,2001,2012,C,6-11,259.0,"May 21, 1978",Kentucky
28,Will Magnay,2021,2021,C,6-10,234.0,"June 10, 1998",Tulsa
29,Randolph Mahaffey,1968,1971,F,6-7,210.0,"September 28, 1945",Clemson
30,Ian Mahinmi,2008,2020,C,6-11,262.0,"November 5, 1986",
31,John Mahnken,1947,1953,C,6-8,220.0,"June 16, 1922",Georgetown
32,Brian Mahoney,1973,1973,G,6-3,175.0,"December 17, 1948",Manhattan College
33,Mo Mahoney,1953,1954,F,6-2,205.0,"November 20, 1927",Brown University
34,Rick Mahorn,1981,1999,C-F,6-10,240.0,"September 21, 1958",Hampton
35,Dan Majerle,1989,2002,G-F,6-6,215.0,"September 9, 1965",Central Michigan University
36,Renaldo Major,2007,2007,F,6-7,200.0,"May 7, 1982","South Plains College, Fresno State"
37,Thon Maker,2017,2021,F-C,7-0,221.0,"February 25, 1997",
38,Lionel Malamed,1949,1949,G,5-9,150.0,"November 15, 1924",City College of New York
39,Théo Maledon,2021,2022,G,6-4,175.0,"June 12, 2001",
40,Jeff Malone,1984,1996,G,6-4,205.0,"June 28, 1961",Mississippi State
41,Karl Malone*,1986,2004,F,6-9,250.0,"July 24, 1963",Louisiana Tech
42,Moses Malone*,1975,1995,C-F,6-10,215.0,"March 23, 1955",
43,Matt Maloney,1997,2003,G,6-3,192.0,"December 6, 1971","Vanderbilt, Penn"
44,Steve Malovic,1980,1980,F,6-10,230.0,"July 21, 1956","USC, San Diego State"
45,Mike Maloy,1971,1973,F,6-7,215.0,"May 10, 1949",Davidson
46,Sandro Mamukelashvili,2022,2022,F,6-11,240.0,"May 23, 1999",Seton Hall
47,Ted Manakas,1974,1974,G,6-2,180.0,"February 22, 1951",Princeton
48,John Mandic,1949,1950,F-C,6-4,205.0,"October 3, 1919",Oregon State
49,Karim Mané,2021,2021,G,6-3,190.0,"May 16, 2000",Vanier College
50,Frank Mangiapane,1947,1947,G,5-10,195.0,"August 5, 1925",NYU
51,Terance Mann,2020,2022,G-F,6-5,215.0,"October 18, 1996",Florida State
52,Tre Mann,2022,2022,G,6-3,178.0,"February 3, 2001",Florida
53,Danny Manning,1989,2003,F-C,6-10,230.0,"May 17, 1966",Kansas
54,Ed Manning,1968,1976,F,6-7,210.0,"January 2, 1944",Jackson State University
55,Guy Manning,1968,1969,F,6-6,195.0,"February 4, 1944",Prairie View A&M University
56,Rich Manning,1996,1997,C,6-11,253.0,"June 23, 1970","Syracuse, Washington"
57,Nico Mannion,2021,2021,G,6-2,190.0,"March 14, 2001",Arizona
58,Pace Mannion,1984,1989,G,6-7,190.0,"September 22, 1960",Utah
59,Nick Mantis,1960,1963,G,6-3,190.0,"December 7, 1935",Northwestern
60,Pete Maravich*,1971,1980,G,6-5,197.0,"June 22, 1947",LSU
61,Press Maravich,1947,1947,G,6-0,185.0,"August 29, 1915",Davis & Elkins College
62,Devyn Marble,2015,2016,G-F,6-6,200.0,"September 21, 1992",Iowa
63,Roy Marble,1990,1994,G-F,6-6,190.0,"December 13, 1966",Iowa
64,Stephon Marbury,1997,2009,G,6-2,180.0,"February 20, 1977",Georgia Tech
65,Šarūnas Marčiulionis*,1990,1997,G,6-5,200.0,"June 13, 1964",
66,Saul Mariaschin,1948,1948,G,5-11,165.0,"September 1, 1924",Harvard University
67,Jack Marin,1967,1977,F-G,6-7,200.0,"October 12, 1944",Duke
68,Shawn Marion,2000,2015,F,6-7,220.0,"May 7, 1978","Vincennes University, UNLV"
69,Boban Marjanović,2016,2022,C,7-3,290.0,"August 15, 1988",
70,Lauri Markkanen,2018,2022,F-C,7-0,240.0,"May 22, 1997",Arizona
71,Damir Markota,2007,2007,C,6-10,225.0,"December 26, 1985",
72,Sean Marks,1999,2011,F-C,6-10,250.0,"August 23, 1975",California
73,Harvey Marlatt,1971,1973,G,6-3,185.0,"August 26, 1948",Eastern Michigan
74,Jim Marsh,1972,1972,F,6-7,215.0,"April 26, 1946",USC
75,Ricky Marsh,1978,1978,G,6-3,200.0,"March 10, 1954",Manhattan College
76,Donny Marshall,1996,2003,F,6-7,230.0,"July 17, 1972",UConn
77,Donyell Marshall,1995,2009,F,6-9,218.0,"May 18, 1973",UConn
78,Kendall Marshall,2013,2016,G,6-4,200.0,"August 19, 1991",UNC
79,Naji Marshall,2021,2022,F,6-7,220.0,"January 24, 1998",Xavier
80,Rawle Marshall,2006,2007,G-F,6-9,190.0,"February 20, 1982","Ball State University, Oakland"
81,Tom Marshall,1955,1959,F-G,6-4,215.0,"January 6, 1931",Western Kentucky
82,Vester Marshall,1974,1974,F,6-7,200.0,"December 22, 1948",Oklahoma
83,Bill Martin,1986,1988,F,6-7,205.0,"August 16, 1962",Georgetown
84,Bob Martin,1994,1995,C,7-0,250.0,"October 7, 1969",Minnesota
85,Brian Martin,1986,1986,F,6-9,212.0,"August 18, 1962",Kansas
86,Caleb Martin,2020,2022,F,6-5,205.0,"September 28, 1995","NC State, Nevada"
87,Cartier Martin,2009,2015,F,6-7,220.0,"November 20, 1984",Kansas State
88,Cody Martin,2020,2022,G-F,6-5,205.0,"September 28, 1995","NC State, Nevada"
89,Cuonzo Martin,1996,1997,G-F,6-5,213.0,"September 23, 1971",Purdue
90,Darrick Martin,1995,2008,G,5-11,170.0,"March 6, 1971",UCLA
91,Dino Martin,1947,1948,G,5-8,160.0,"May 25, 1920",Georgetown
92,Don Martin,1947,1949,C-F,6-7,210.0,"February 7, 1920",Central Missouri State University
93,Fernando Martín,1987,1987,C,6-9,220.0,"March 25, 1962",
94,Jarell Martin,2016,2019,F,6-10,239.0,"May 24, 1994",LSU
95,Jeff Martin,1990,1991,G,6-5,195.0,"January 14, 1967",Murray State
96,Jeremiah Martin,2020,2021,G,6-3,185.0,"June 19, 1996",Memphis
97,Kelan Martin,2020,2022,F,6-5,230.0,"August 3, 1995",Butler
98,Kenyon Martin,2001,2015,F,6-9,234.0,"December 30, 1977",Cincinnati
99,Kenyon Martin Jr.,2021,2022,F,6-6,215.0,"January 6, 2001",
100,Kevin Martin,2005,2016,G,6-7,199.0,"February 1, 1983",Western Carolina University
101,LaRue Martin,1973,1976,C,6-11,208.0,"March 30, 1950",Loyola Chicago
102,Maurice Martin,1987,1988,F-G,6-6,200.0,"July 2, 1964",Saint Joseph's
103,Phil Martin,1955,1955,G,6-3,190.0,"April 2, 1928",Toledo
104,Slater Martin*,1950,1960,G,5-10,170.0,"October 22, 1925",Texas
105,Whitey Martin,1962,1962,G,6-2,185.0,"April 11, 1939",St. Bonaventure
106,Jamal Mashburn,1994,2004,F,6-8,240.0,"November 29, 1972",Kentucky
107,Al Masino,1953,1954,G,5-10,174.0,"February 5, 1928",Canisius
108,Anthony Mason,1990,2003,F,6-7,250.0,"December 14, 1966",Tennessee State
109,Desmond Mason,2001,2010,F,6-7,224.0,"October 11, 1977",Oklahoma State
110,Frank Mason III,2018,2021,G,5-11,190.0,"April 3, 1994",Kansas
111,Roger Mason,2003,2014,G,6-5,200.0,"September 10, 1980",Virginia
112,Tony Massenburg,1991,2005,F,6-9,220.0,"July 31, 1967",Maryland
113,Eddie Mast,1971,1973,F-C,6-9,220.0,"October 3, 1948",Temple
114,Yante Maten,2019,2019,F,6-8,240.0,"August 14, 1996",Georgia
115,Garrison Mathews,2020,2022,G,6-5,215.0,"October 24, 1996",Lipscomb
116,Mangok Mathiang,2018,2018,C-F,6-10,230.0,"October 8, 1992",Louisville
117,Dakota Mathias,2021,2022,G,6-4,200.0,"July 11, 1995",Purdue
118,Johnny Mathis,1968,1968,F,6-6,220.0,"July 14, 1943",Savannah State University
119,Wes Matthews,1981,1990,G,6-1,170.0,"August 24, 1959",Wisconsin
120,Wesley Matthews,2010,2022,G,6-4,220.0,"October 14, 1986",Marquette
121,Ariel Maughan,1947,1951,F,6-4,190.0,"February 23, 1923",Utah State University
122,Marlon Maxey,1993,1994,F,6-8,250.0,"February 19, 1969","Minnesota, Texas-El Paso"
123,Tyrese Maxey,2021,2022,G,6-2,200.0,"November 4, 2000",Kentucky
124,Jason Maxiell,2006,2015,F,6-7,260.0,"February 18, 1983",Cincinnati
125,Cedric Maxwell,1978,1988,F,6-8,205.0,"November 21, 1955",UNC Charlotte
126,Vernon Maxwell,1989,2001,G,6-4,180.0,"September 12, 1965",Florida
127,Don May,1969,1975,F,6-4,200.0,"January 3, 1946",Dayton
128,Scott May,1977,1983,F,6-7,215.0,"March 19, 1954",Indiana
129,Sean May,2006,2010,F,6-9,266.0,"April 4, 1984",UNC
130,Lee Mayberry,1993,1999,G,6-1,172.0,"June 12, 1970",Arkansas
131,Clyde Mayes,1976,1977,F,6-8,225.0,"March 17, 1953",Furman University
132,Tharon Mayes,1992,1992,G,6-3,175.0,"September 9, 1968",Florida State
133,Bill Mayfield,1981,1981,F,6-7,205.0,"October 17, 1957",Iowa
134,Ken Mayfield,1976,1976,G,6-2,185.0,"May 11, 1948",Tuskegee University
135,Eric Maynor,2010,2014,G,6-3,175.0,"June 11, 1987",VCU
136,O.J. Mayo,2009,2016,G,6-5,210.0,"November 5, 1987",USC
137,Skylar Mays,2021,2022,G,6-4,205.0,"September 5, 1997",LSU
138,Travis Mays,1991,1993,G,6-2,190.0,"June 19, 1968",Texas
139,Matt Mazza,1950,1950,F,6-3,210.0,"September 23, 1923",Michigan State
140,Luc Mbah a Moute,2009,2020,F,6-8,230.0,"September 9, 1986",UCLA
141,Bob McAdoo*,1973,1986,C-F,6-9,210.0,"September 25, 1951","Vincennes University, UNC"
142,James Michael McAdoo,2015,2018,F,6-9,230.0,"January 4, 1993",UNC
143,Ken McBride,1955,1955,G-F,6-3,190.0,"May 23, 1929",University of Maryland Eastern Shore
